Area,Frontage,Access_Road,Floors,Bedrooms,Bathrooms,Price,Frontage_missing,Access_Road_missing,Floors_missing,Bedrooms_missing,Bathrooms_missing,Area_per_Bedroom,Area_per_Bathroom,Frontage_Area_ratio,Legal_status_Sale contract,Legal_status_Unknown,Furniture_state_Full,Furniture_state_Unknown,Price_log
140.0,4.0,6.0,2.0,4.0,3.0,3.2,0,0,0,0,0,28.0,35.0,0.028368794326241134,False,False,True,False,1.4350845252893227
51.75,4.5,6.0,4.0,4.0,5.0,9.2,0,0,0,0,0,10.35,8.625,0.08530805687203792,False,False,False,True,2.322387720290225
27.0,4.0,7.5,5.0,4.0,5.0,7.65,0,0,0,0,0,5.4,4.5,0.14285714285714285,False,False,True,False,2.157559320943788
115.0,4.5,5.5,3.0,3.0,3.0,9.55,1,1,1,1,1,28.75,28.75,0.03879310344827586,False,True,True,False,2.3561258599220753
81.0,4.5,7.5,5.0,3.0,3.0,9.9,1,0,0,1,1,20.25,20.25,0.054878048780487805,False,True,False,True,2.388762789235098
102.8,6.5,7.5,2.0,4.0,4.0,5.6,0,0,0,0,0,20.56,20.56,0.0626204238921002,False,True,False,True,1.8870696490323797
48.0,4.5,5.5,3.0,3.0,3.0,5.8,1,1,1,1,1,12.0,12.0,0.09183673469387756,False,False,False,True,1.916922612182061
55.0,4.5,5.0,3.0,3.0,3.0,6.8,0,0,1,1,1,13.75,13.75,0.08035714285714286,False,True,False,True,2.0541237336955462
56.25,4.5,5.0,3.0,4.0,3.0,4.29,0,0,0,0,0,11.25,14.0625,0.07860262008733625,False,False,False,False,1.665818245870208
65.0,4.5,5.5,2.0,3.0,3.0,4.0,1,1,0,0,0,16.25,16.25,0.06818181818181818,False,True,False,True,1.6094379124341003
80.0,6.5,7.5,5.0,5.0,5.5,6.5,0,0,0,0,0,13.333333333333334,12.307692307692308,0.08024691358024691,False,True,False,True,2.0149030205422647
60.0,4.0,5.5,3.0,3.0,3.0,7.0,0,1,1,1,1,15.0,15.0,0.06557377049180328,True,False,False,True,2.0794415416798357
33.0,3.0,3.5,5.0,3.0,4.0,4.48,0,0,0,0,0,8.25,6.6,0.08823529411764706,False,False,True,False,1.7011051009599243
38.0,4.2,6.0,4.0,3.0,4.0,6.78,0,0,0,0,0,9.5,7.6,0.1076923076923077,False,False,True,False,2.0515563381903004
140.0,5.0,7.5,3.0,3.0,3.0,4.9,0,0,1,1,1,35.0,35.0,0.03546099290780142,True,False,False,True,1.7749523509116738
42.0,4.5,5.5,3.0,2.0,3.0,6.5,1,1,0,0,1,14.0,10.5,0.10465116279069768,False,False,False,True,2.0149030205422647
30.0,3.4,3.5,6.0,4.0,5.0,5.65,0,0,0,0,0,6.0,5.0,0.10967741935483871,False,True,True,False,1.8946168546677629
78.0,6.0,7.5,5.0,3.0,3.0,9.8,0,0,0,1,1,19.5,19.5,0.0759493670886076,False,True,False,True,2.379546134130174
43.5,4.5,3.5,4.0,3.0,4.0,6.2,1,0,0,0,0,10.875,8.7,0.10112359550561797,False,False,False,False,1.9740810260220096
23.9,3.5,5.5,2.0,2.0,2.0,4.2,0,1,0,0,0,7.966666666666666,7.966666666666666,0.14056224899598393,False,True,False,True,1.6486586255873816
78.7,4.0,5.5,3.0,3.0,3.0,5.5,0,1,1,1,1,19.675,19.675,0.050188205771643665,False,False,False,True,1.8718021769015913
67.5,4.5,5.5,3.0,3.0,3.0,2.18,1,1,1,1,1,16.875,16.875,0.06569343065693431,False,True,False,True,1.1568811967920856
72.0,4.0,5.0,2.0,4.0,4.0,6.7,0,0,0,0,0,14.4,14.4,0.0547945205479452,False,False,True,False,2.0412203288596382
60.0,4.5,3.5,4.0,4.0,3.0,2.65,1,0,0,0,0,12.0,15.0,0.07377049180327869,False,False,False,False,1.2947271675944
140.0,4.5,5.5,2.0,3.0,3.0,10.0,1,1,0,0,0,35.0,35.0,0.031914893617021274,False,True,False,True,2.3978952727983707
36.0,4.0,3.5,5.0,4.0,4.0,6.0,0,0,0,0,0,7.2,7.2,0.10810810810810811,False,False,False,False,1.9459101490553132
