Area,Frontage,Access_Road,Floors,Bedrooms,Bathrooms,Legal_status,Furniture_state,Price,Frontage_missing,Access_Road_missing,Floors_missing,Bedrooms_missing,Bathrooms_missing,Area_per_Bedroom,Area_per_Bathroom,Frontage_Area_ratio
100.0,6.5,7.5,3.0,3.0,3.0,Have certificate,Unknown,3.9,0,0,0,1,1,25.0,25.0,0.06435643564356436
42.0,3.3,5.0,4.0,5.0,4.0,Have certificate,Full,8.8,0,0,0,0,0,7.0,8.4,0.07674418604651162
140.0,5.0,6.0,4.0,4.0,4.0,Have certificate,Full,9.3,0,0,0,0,0,28.0,28.0,0.03546099290780142
140.0,6.5,7.5,3.0,5.0,4.0,Have certificate,Basic,9.7,0,0,0,0,0,23.333333333333332,28.0,0.04609929078014184
75.0,5.0,7.5,5.0,3.0,3.0,Have certificate,Basic,8.6,0,0,0,1,1,18.75,18.75,0.06578947368421052
78.0,6.0,5.5,5.0,3.0,3.0,Have certificate,Basic,9.4,0,1,0,1,1,19.5,19.5,0.0759493670886076
33.0,4.5,3.5,5.0,3.0,4.0,Have certificate,Full,4.15,0,0,0,0,0,8.25,6.6,0.1323529411764706
31.0,4.5,5.5,5.0,3.0,3.0,Have certificate,Unknown,2.9,1,1,0,1,1,7.75,7.75,0.140625
83.6,4.5,5.5,4.0,4.0,5.0,Have certificate,Unknown,8.6,1,1,0,0,0,16.72,13.933333333333332,0.05319148936170213
56.0,4.8,3.5,6.0,4.0,4.0,Have certificate,Unknown,5.3,0,0,0,0,0,11.2,11.2,0.08421052631578947
90.0,5.0,7.5,4.0,4.0,5.0,Have certificate,Unknown,3.85,0,0,0,0,0,18.0,15.0,0.054945054945054944
55.0,4.0,5.0,5.0,5.5,5.0,Have certificate,Full,8.3,0,0,0,0,0,8.461538461538462,9.166666666666666,0.07142857142857142
50.0,6.5,5.5,2.0,2.0,2.0,Have certificate,Unknown,3.9,0,1,0,0,0,16.666666666666668,16.666666666666668,0.12745098039215685
65.0,4.5,7.5,4.0,4.0,5.0,Unknown,Unknown,4.2,1,0,0,0,0,13.0,10.833333333333334,0.06818181818181818
60.0,4.5,5.5,3.0,3.0,3.0,Have certificate,Unknown,4.3,1,1,1,1,1,15.0,15.0,0.07377049180327869
100.0,5.0,7.5,3.0,3.0,4.0,Sale contract,Unknown,3.95,0,0,0,0,0,25.0,20.0,0.04950495049504951
33.0,4.5,5.5,3.0,1.5,1.5,Sale contract,Unknown,1.4,1,1,1,0,0,13.2,13.2,0.1323529411764706
60.0,4.5,3.5,3.0,3.0,3.0,Have certificate,Unknown,4.7,1,0,0,0,0,15.0,15.0,0.07377049180327869
70.0,4.5,5.5,5.0,5.0,4.0,Unknown,Unknown,6.9,1,1,0,0,0,11.666666666666666,14.0,0.06338028169014084
40.0,4.5,5.0,4.0,5.0,4.0,Have certificate,Full,9.1,1,0,0,0,0,6.666666666666667,8.0,0.10975609756097561
40.0,4.5,5.5,5.0,5.5,3.0,Unknown,Unknown,6.25,1,1,0,0,0,6.153846153846154,10.0,0.10975609756097561
66.0,4.0,7.5,4.0,5.0,3.0,Have certificate,Unknown,8.95,0,0,0,0,0,11.0,16.5,0.05970149253731343
35.0,4.5,5.5,4.0,4.0,3.0,Have certificate,Full,6.25,1,1,0,0,0,7.0,8.75,0.125
74.0,4.5,5.5,2.0,4.0,3.0,Have certificate,Full,6.83,1,1,0,0,0,14.8,18.5,0.06
45.0,4.5,5.5,2.0,2.0,2.0,Have certificate,Unknown,4.4,1,1,0,0,0,15.0,15.0,0.09782608695652174
70.0,4.5,5.5,3.0,3.0,3.0,Have certificate,Basic,6.8,1,1,1,1,1,17.5,17.5,0.06338028169014084
45.0,4.5,7.5,3.0,3.0,3.0,Sale contract,Basic,7.0,1,0,1,1,1,11.25,11.25,0.09782608695652174
48.0,4.5,3.5,4.0,5.0,3.0,Have certificate,Basic,6.4,1,0,0,0,1,8.0,12.0,0.09183673469387756
56.1,4.2,5.5,4.0,4.0,3.0,Have certificate,Unknown,6.3,0,1,0,0,0,11.22,14.025,0.07355516637478109
40.0,4.5,5.5,5.0,3.0,3.0,Unknown,Unknown,7.48,1,1,0,1,1,10.0,10.0,0.10975609756097561
36.5,3.6,4.0,6.0,3.0,4.0,Have certificate,Basic,4.1,0,0,0,0,0,9.125,7.3,0.096
36.0,4.5,5.5,4.0,3.0,3.0,Have certificate,Unknown,7.49,1,1,0,1,1,9.0,9.0,0.12162162162162163
64.0,4.0,6.0,5.0,4.0,5.0,Have certificate,Basic,6.7,0,0,0,0,0,12.8,10.666666666666666,0.06153846153846154
12.0,3.0,3.5,5.0,3.0,4.0,Unknown,Unknown,1.8,0,0,0,0,0,3.0,2.4,0.23076923076923078
53.0,4.3,7.5,5.0,5.5,5.0,Have certificate,Basic,6.39,0,0,0,0,0,8.153846153846153,8.833333333333334,0.07962962962962962
96.0,5.5,5.5,2.0,5.0,5.0,Have certificate,Full,8.5,0,1,0,0,0,16.0,16.0,0.05670103092783505
31.0,6.2,6.0,3.0,4.0,3.0,Have certificate,Full,6.8,0,0,0,0,0,6.2,7.75,0.19375
56.0,3.85,3.5,4.0,4.0,5.0,Have certificate,Full,8.5,0,0,0,0,0,11.2,9.333333333333334,0.06754385964912281
